0,brand,category,overall_reviews,overall_star,star5,star4,star3,star2,star1,value_for_money,value_for_money_num,product_quality,product_quality_num,customer_service,customer_service_num
Azimo,azimo,money-transfer-services,1,1.0,,,,,1,,,,,,
Raiz Insure,raiz-insure,,,,,,,,,,,,,,
Surveys,surveys,,,,,,,,,,,,,,
iSelf Health Insurance,iself-health-insurance,,,,,,,,,,,,,,
"Cinema, Theme Park and Attraction Vouchers",cinema-theme-park-and-attraction-vouchers,,,,,,,,,,,,,,
Raiz Health,raiz-health,,,,,,,,,,,,,,
Nixer Online Accounting,nixer-online-accounting,,,,,,,,,,,,,,
Europcar,europcar,car-hire,,,,,,,,,,,,,
ASOS,asos,clothing-shops-brands,,,,,,,,,,,,,
Dan Murphy's,dan-murphy-s,food-drink-shops,"1,315",1.8,172,49,44,125,925,2.6/5,,,,,
R.M. Williams,r-m-williams,clothing-shops-brands,167,2.0,24,9,9,27,98,,,,,,
Wiggle,wiggle,,,,,,,,,,,,,,
Lacoste,lacoste,clothing-shops-brands,,,,,,,,,,,,,
Farfetch,farfetch,clothing-shops-brands,,,,,,,,,,,,,
Adore Beauty,adore-beauty,beauty-product-retailers,,,,,,,,,,,,,
Booking.com,booking-com,travel-agents-booking-service,"2,273",1.4,155,51,49,122,"1,896",1.3/5,,,,,
Boohoo,boohoo,,,,,,,,,,,,,,
Cotton On,cotton-on,,,,,,,,,,,,,,
Petbarn,petbarn,,,,,,,,,,,,,,
Catch.com.au,catch-com-au,,,,,,,,,,,,,,
Mate Internet and Mobile,mate-internet-and-mobile,,,,,,,,,,,,,,
Ray-Ban,ray-ban,,,,,,,,,,,,,,
DiDi,didi,,,,,,,,,,,,,,
RedBalloon,redballoon,,,,,,,,,,,,,,
Menulog,menulog,,,,,,,,,,,,,,
Dell,dell,,,,,,,,,,,,,,
THE ICONIC,the-iconic,,,,,,,,,,,,,,
Aveda,aveda,,,,,,,,,,,,,,
Oakley,oakley,,,,,,,,,,,,,,
adidas,adidas,,,,,,,,,,,,,,
Australia Post Shop,australia-post-shop,,,,,,,,,,,,,,
Dessert Boxes,dessert-boxes,,,,,,,,,,,,,,
PETstock,petstock,pet-shops,255,2.3,62,10,10,29,144,3.1/5,,,,,
BINGE,binge,,,,,,,,,,,,,,
Myer,myer,,,,,,,,,,,,,,
HelloFresh,hellofresh,,,,,,,,,,,,,,
First Choice Liquor,first-choice-liquor,,,,,,,,,,,,,,
Book Depository,book-depository,,,,,,,,,,,,,,
Modibodi,modibodi,,,,,,,,,,,,,,
Groupon,groupon,,,,,,,,,,,,,,
eBay,ebay,,,,,,,,,,,,,,
Liquorland,liquorland,,,,,,,,,,,,,,
Berlei,berlei,,,,,,,,,,,,,,
Chemist Warehouse,chemist-warehouse,,,,,,,,,,,,,,
Booktopia,booktopia,,,,,,,,,,,,,,
City Beach,city-beach,,,,,,,,,,,,,,
The Wine Collective,the-wine-collective,,,,,,,,,,,,,,
Appliances Online,appliances-online,,,,,,,,,,,,,,
MyProtein,myprotein,,,,,,,,,,,,,,
ECHT,echt,,,,,,,,,,,,,,
Shaver Shop,shaver-shop,,,,,,,,,,,,,,
Udemy,udemy,,,,,,,,,,,,,,
BCF,bcf,,,,,,,,,,,,,,
Lovehoney,lovehoney,,,,,,,,,,,,,,
EveryPlate,everyplate,,,,,,,,,,,,,,
Norton,norton,,,,,,,,,,,,,,
Langtons,langtons,,,,,,,,,,,,,,
THE OUTNET,the-outnet,,,,,,,,,,,,,,
BWS,bws,,,,,,,,,,,,,,
EasyFlowers,easyflowers,,,,,,,,,,,,,,
Glue Store,glue-store,,,,,,,,,,,,,,
Rivers,rivers,,,,,,,,,,,,,,
Sportitude,sportitude,,,,,,,,,,,,,,
Supercheap Auto,supercheap-auto,,,,,,,,,,,,,,
PUMA,puma,,,,,,,,,,,,,,
Witchery,witchery,,,,,,,,,,,,,,
Bing Lee,bing-lee,,,,,,,,,,,,,,
Reebok,reebok,,,,,,,,,,,,,,
Hardtofind,hardtofind,,,,,,,,,,,,,,
CAT Workwear,cat-workwear,,,,,,,,,,,,,,
Sunglass Hut,sunglass-hut,,,,,,,,,,,,,,
Microsoft Store,microsoft-store,,,,,,,,,,,,,,
Pizza Hut,pizza-hut,,,,,,,,,,,,,,
Harris Scarfe,harris-scarfe,,,,,,,,,,,,,,
YouFoodz,youfoodz,,,,,,,,,,,,,,
Kayo Sports,kayo-sports,,,,,,,,,,,,,,
General Pants,general-pants,,,,,,,,,,,,,,
Adairs,adairs,,,,,,,,,,,,,,
Canningvale,canningvale,home-decor-shops,,,,,,,,,,,,,
LEGO,lego,,,,,,,,,,,,,,
Kogan,kogan,,,,,,,,,,,,,,
4WD Supacentre,4wd-supacentre,,,,,,,,,,,,,,
Pet Circle,pet-circle,,,,,,,,,,,,,,
ASICS,asics,,,,,,,,,,,,,,
Kathmandu,kathmandu,,,,,,,,,,,,,,
The Good Guys,the-good-guys,,,,,,,,,,,,,,
Speedo,speedo,,,,,,,,,,,,,,
Princess Highway,princess-highway,,,,,,,,,,,,,,
Lookfantastic,lookfantastic,,,,,,,,,,,,,,
Estee Lauder,estee-lauder,,,,,,,,,,,,,,
Converse,converse,,,,,,,,,,,,,,
SHEIN,shein,,,,,,,,,,,,,,
JAGGAD,jaggad,,,,,,,,,,,,,,
Interflora,interflora,,,,,,,,,,,,,,
Apple,apple,,,,,,,,,,,,,,
Bras N Things,bras-n-things,,,,,,,,,,,,,,
Shoes & Sox,shoes-&-sox,,,,,,,,,,,,,,
Politix,politix,,,,,,,,,,,,,,
Lowes,lowes,,,,,,,,,,,,,,
New Balance,new-balance,,,,,,,,,,,,,,
SurfStitch,surfstitch,clothing-shops-brands,,,,,,,,,,,,,
LVLY,lvly,,,,,,,,,,,,,,
Bonds,bonds,,,,,,,,,,,,,,
The Hamper Emporium,the-hamper-emporium,,,,,,,,,,,,,,
1001 Optical,1001-optical,,,,,,,,,,,,,,
JD Sports,jd-sports,,,,,,,,,,,,,,
Veronika Maine,veronika-maine,,,,,,,,,,,,,,
Wrangler,wrangler,,,,,,,,,,,,,,
Lululemon,lululemon,,,,,,,,,,,,,,
MATCHESFASHION.COM,matchesfashion-com,,,,,,,,,,,,,,
gorman,gorman,,,,,,,,,,,,,,
Edible Blooms,edible-blooms,,,,,,,,,,,,,,
Under Armour,under-armour,,,,,,,,,,,,,,
Wotif,wotif,,,,,,,,,,,,,,
Skechers,skechers,,,,,,,,,,,,,,
T2 Tea,t2-tea,,,,,,,,,,,,,,
Best&Less,best&less,,,,,,,,,,,,,,
Forever New,forever-new,,,,,,,,,,,,,,
Seed Heritage,seed-heritage,,,,,,,,,,,,,,
Sanity,sanity,,,,,,,,,,,,,,
Platypus Shoes,platypus-shoes,,,,,,,,,,,,,,
Baby Bunting,baby-bunting,,,,,,,,,,,,,,
Lorna Jane,lorna-jane,,,,,,,,,,,,,,
Sephora,sephora,,,,,,,,,,,,,,
Vinomofo,vinomofo,,,,,,,,,,,,,,
Vistaprint,vistaprint,,,,,,,,,,,,,,
Cettire,cettire,,,,,,,,,,,,,,
Naked Wines,naked-wines,,,,,,,,,,,,,,
ecco,ecco,,,,,,,,,,,,,,
Sheridan,sheridan,,,,,,,,,,,,,,
Bang Good,bang-good,,,,,,,,,,,,,,
boohooMAN,boohooman,,,,,,,,,,,,,,
Styletread,styletread,,,,,,,,,,,,,,
Crabtree & Evelyn,crabtree-&-evelyn,,,,,,,,,,,,,,
bellabox,bellabox,,,,,,,,,,,,,,
P.E Nation,p-e-nation,,,,,,,,,,,,,,
Zanui,zanui,,,,,,,,,,,,,,
The North Face,the-north-face,,,,,,,,,,,,,,
Rentalcars.com,rentalcars-com,,,,,,,,,,,,,,
Nine West,nine-west,,,,,,,,,,,,,,
NET-A-PORTER,net-a-porter,,,,,,,,,,,,,,
Bendon Lingerie,bendon-lingerie,,,,,,,,,,,,,,
Tony Bianco,tony-bianco,,,,,,,,,,,,,,
Adrenaline,adrenaline,,,,,,,,,,,,,,
Telstra Mobile,telstra-mobile,,,,,,,,,,,,,,
Scoopon,scoopon,,,,,,,,,,,,,,
Princess Polly,princess-polly,,,,,,,,,,,,,,
Kiehl's,kiehl-s,,,,,,,,,,,,,,
Uber Eats Eater,uber-eats-eater,,,,,,,,,,,,,,
Clinique,clinique,,,,,,,,,,,,,,
NOVO Shoes,novo-shoes,,,,,,,,,,,,,,
W Lane,w-lane,,,,,,,,,,,,,,
Elite Supps,elite-supps,,,,,,,,,,,,,,
Canva,canva,,,,,,,,,,,,,,
Clarks ,clarks-,,,,,,,,,,,,,,
2XU,2xu,,,,,,,,,,,,,,
Athlete's Foot,athlete-s-foot,,,,,,,,,,,,,,
Lyre's,lyre-s,,,,,,,,,,,,,,
Jo Mercer,jo-mercer,,,,,,,,,,,,,,
Dangerfield,dangerfield,,,,,,,,,,,,,,
MAC Cosmetics,mac-cosmetics,,,,,,,,,,,,,,
Cellarmasters,cellarmasters,,,,,,,,,,,,,,
Inkspot,inkspot,,,,,,,,,,,,,,
MyHeritage,myheritage,,,,,,,,,,,,,,
Lastminute,lastminute,,,,,,,,,,,,,,
Jimmy Brings,jimmy-brings,,,,,,,,,,,,,,
Australis,australis,,,,,,,,,,,,,,
Pharmacy Online,pharmacy-online,,,,,,,,,,,,,,
Connor,connor,,,,,,,,,,,,,,
The Body Shop,the-body-shop,,,,,,,,,,,,,,
Vitable,vitable,,,,,,,,,,,,,,
Catch Connect,catch-connect,,,,,,,,,,,,,,
Ryderwear,ryderwear,,,,,,,,,,,,,,
Foot Locker,foot-locker,,,,,,,,,,,,,,
Endota Spa,endota-spa,,,,,,,,,,,,,,
eHarmony,eharmony,,,,,,,,,,,,,,
PatPat,patpat,,,,,,,,,,,,,,
French Connection,french-connection,,,,,,,,,,,,,,
Stylerunner,stylerunner,,,,,,,,,,,,,,
Sportscraft,sportscraft,,,,,,,,,,,,,,
Sparesbox,sparesbox,,,,,,,,,,,,,,
Bicycles Online,bicycles-online,,,,,,,,,,,,,,
Moonpig,moonpig,,,,,,,,,,,,,,
Skydive,skydive,,,,,,,,,,,,,,
Michael Kors,michael-kors,,,,,,,,,,,,,,
Riders by Lee,riders-by-lee,,,,,,,,,,,,,,
Fossil,fossil,jewellery-shops-brands,78,1.8,12,2,1,5,58,,,,,,
Cue,cue,,,,,,,,,,,,,,
Cudo,cudo,,,,,,,,,,,,,,
MJ Bale,mj-bale,,,,,,,,,,,,,,
Hype DC,hype-dc,,,,,,,,,,,,,,
Lovisa,lovisa,,,,,,,,,,,,,,
yd.,yd-,,,,,,,,,,,,,,
Bobbi Brown,bobbi-brown,,,,,,,,,,,,,,
Camilla and Marc,camilla-and-marc,,,,,,,,,,,,,,
Nasty Gal,nasty-gal,,,,,,,,,,,,,,
Superdry,superdry,,,,,,,,,,,,,,
Lenovo,lenovo,,,,,,,,,,,,,,
Riot Art & Craft,riot-art-&-craft,,,,,,,,,,,,,,
Giorgio Armani ,giorgio-armani-,,,,,,,,,,,,,,
Swisse,swisse,,,,,,,,,,,,,,
HP,hp,,,,,,,,,,,,,,
Ben Sherman,ben-sherman,,,,,,,,,,,,,,
PrettyLittleThing,prettylittlething,,,,,,,,,,,,,,
Kate Spade,kate-spade,,,,,,,,,,,,,,
Stayz,stayz,,,,,,,,,,,,,,
Weight Watchers,weight-watchers,,,,,,,,,,,,,,
Hostelworld,hostelworld,,,,,,,,,,,,,,
MESHKI,meshki,,,,,,,,,,,,,,
Purebaby,purebaby,mother-baby-shops,64,1.9,8,3,3,11,39,3.1/5,,,,,
Eco. Modern Essentials,eco-modern-essentials,,,,,,,,,,,,,,
Charles Tyrwhitt,charles-tyrwhitt,,,,,,,,,,,,,,
SABA,saba,,,,,,,,,,,,,,
